user_id,user_created_at,length,likes,quotes,replies,retweets,text,user_followers,user_tweet_count
tendar.bsky.social,2023-11-25,278,405,8,15,60,"Syrian rebel forces made big advances into Syria's North and reached the strategic air base of Abu al-Duhur, more that 30 km from the last known rebel advance yesterday.\n\nWithout serious reinforcements, the Assad regime is about to fully collapse along the entire Syria's North.", 29862, 880
jonbois.bsky.social,2023-04-28,141,2542,2,54,175,starting in the 8th overtime you snap the ball from the middle of the end zone and the only rules are that you're not allowed to vomit or cry, 212458, 1021
astronomers.bsky.social,2024-11-16,25,2490,14,24,154,A ‘Rose’ Made of Galaxies, 41248, 92
ashtonpittman.bsky.social,2023-04-27,300,4641,15,118,345,"Just learned that Harvey Weinstein tried to force Peter Jackson to make The Lord of the Rings as one single two-hour movie, prompting the production team to ditch Miramax and switch to New Line Cinema.\n\nSo not only is he a serial rapist, but he was shit at vision for cinema? Mediocre rapists go far.", 48047, 1605
premnsikka.bsky.social,2024-11-18,294,626,10,45,274,"Royal Mail \n\nOnly 76% of 1st-class mail delivered in time, down from 79%.\n\n93% of 2nd-class post on time, down from 94%.\n\n1st class stamp £1.65; 2nd class 85p\nWhen privatised in 2013: 1st class 60p; 2nd class 50p\n\nPrivatisation = Higher price, worse service.\nwww.theguardian.com/business/202...", 18214, 127
maks23.bsky.social,2023-08-18,121,463,0,10,60,"🇸🇾👀 Assad's fleeing troops are leaving behind numerous trophies, thereby replenishing the arsenal of Syrian rebel groups.", 42552, 18544
tabakko.bsky.social,2023-10-07,2,412,1,4,88,📸🦊, 31455, 65
mahoukarp.com,2023-07-01,47,3559,1,19,725,midnight fishing 🎣\n✨️ #art #pokemon #pokefanart, 51651, 386
thehardyboycats.bsky.social,2023-08-16,33,437,0,16,28,Up early for belly rubs #Caturday, 22564, 10095
youngvulgarian.marieleconte.com,2023-04-27,219,51,0,6,1,"watching an interview with a French psychiatrist about ADHD because I'd like my mum to learn about it as I suspect she has it as well but worried it'll be too long and dry for her to actually watch til the end and, well", 59152, 3856
persephiroth.bsky.social,2023-07-04,93,34,0,4,3,"My goal, aesthetically, is to look like organ music should start playing when I enter a room.", 11393, 237
moonitis.bsky.social,2024-09-14,0,72,1,2,3,nan, 11256, 58
allabtgalaxy.bsky.social,2024-10-22,18,1947,4,20,149,The medulla nebula, 101251, 109
spockresists.bsky.social,2023-06-15,90,9549,55,328,733,"Just imagine, particles that have been around since the Big Bang is part of who you are. 🖖", 69759, 757
amazingeye18.bsky.social,2024-10-14,39,26693,72,278,1634,"Aurora over Monument Valley, Arizona 🇺🇸", 6899, 25
allabtgalaxy.bsky.social,2024-10-22,63,6616,37,129,411,Black hole shoots a plasma beam through space.\nCaptured by NASA, 101251, 109
lepapillonblue.bsky.social,2023-08-06,52,4460,5,94,276,"Harvest full moon rising, no filter. #Nikon #BlueSky", 147216, 7215
kamalladreams.bsky.social,2024-11-13,33,22682,153,654,3286,True about the so called religion, 89837, 2987
humblyjay.bsky.social,2024-11-25,44,11069,32,123,572,Full Moon Over Bryce Canyon National Park 🇺🇲, 8636, 22
niallharbison.bsky.social,2024-11-14,239,371,1,8,58,One great thing here is I can share my Substack links. They got banned on Twitter as a competitor. \n\nIt’s where I write my weekly update with good news about the dogs…\n\nBig exciting things happening this week…\n\nsubstack.com/inbox/post/1..., 33871, 54
mikegalsworthy.bsky.social,2023-10-31,270,409,6,37,178,"Boris Johnson promised farmers that “subsidies would stay - 100% guaranteed”.\n\n🚜 The National Farmers’ Union council was overwhelmingly in support of “Remain”, but decided not to campaign outright, as it would upset some of their larger farmers who were cheering Brexit.", 91876, 1255
kamalladreams.bsky.social,2024-11-13,18,3442,2,51,189,Good night bluesky, 89837, 2987
humorhub.bsky.social,2024-11-13,84,4315,12,45,210,this cute fox probably wanted to be a model 🦊😂\n#memes #funny #meme #animals #bluesky, 1697, 70
allabtgalaxy.bsky.social,2024-10-22,84,2696,15,29,207,The Ring Nebula (M57) is more complicated than it appears through a small telescope., 101251, 109
specialkhersoncat.bsky.social,2024-11-06,300,391,6,28,63,"“Russia has promised Assad extra military aid to thwart the rebels, two military sources said, adding new hardware would start arriving in the next 72 hours.”- Reuters\n\nMeanwhile rebels are looting tons of military equipment in Aleppo and surrounding areas left by retreating Asda and Russian forces.", 29915, 239
juststacie5683.bsky.social,2023-08-18,87,26,0,30,0,Happy Saturday!\nIt’s too early. 🥱 \nWhat song is stuck in your head right now?\n\n#EarWorm, 1293, 33
bellaqueen.bsky.social,2024-11-25,3,4529,9,61,264,🌌 ✨, 11450, 44
wholethings.bsky.social,2024-01-08,84,37,0,0,4,The Ring Nebula (M57) is more complicated than it appears through a small telescope., 11523, 26
mcuriosity.bsky.social,2024-11-15,95,3362,10,37,216,The first anniversary image from NASA’s James Webb Space Telescope - Rho Ophiuchi cloud complex, 25988, 109
kamalladreams.bsky.social,2024-11-13,18,12080,16,98,526,Good night BlueSky, 89838, 2987
alcappuccinoit.bsky.social,2024-10-31,202,2195,8,127,294,"This year when I watch “A Christmas Carol,” I’ll think about how Project 2025 intends to take us all back to 1843 Victorian England when employees had no rights and workhouses were the order of the day.", 49256, 483
splendid.land,2023-08-14,270,189,0,12,11,"i never really cared for boba fett as a character, but now i\'ve seen ""The Mandalorian"" and really appreciate how he used to have silver armour but changed it to green as a tribute to when he raised yoda as a baby. like he might have turned evil but he still remembers...", 5360, 184
iwriteok.bsky.social,2023-04-28,166,1058,2,32,32,"rewatching The Sound of Music and damned if every little boy in this movie doesn\'t have resting ""bled out from a Cossack\'s saber in some nameless steppe village""-face", 74673, 107
charlotteclymer.bsky.social,2023-04-14,132,3615,25,119,278,"King of the Hill"" is not an animated sitcom. It is an animated, well-researched documentary on life in Texas presented as a sitcom.", 122027, 688
maxkennerly.bsky.social,2023-05-04,166,4886,15,132,170,"about to post ""WICKED is proof go woke, go broke"" on my men\'s rights youtube channel, just let me first take a big sip of coffee and check out the box office receipts", 96664, 4512
sundaedivine.bsky.social,2023-07-04,175,359,3,17,26,Burglars are very sneaky these days. My husband and I heard a noise downstairs and I went to investigate and was all the way to the kitchen before remembering I’m not married., 92157, 1368
jack-e-smith.bsky.social,2023-07-01,296,549,2,30,62,Good morning.\n\nChanged my account avi and banner last night. It will take the copycats a few hours to catch up. Many accounts here are being mimicked by imposters for scams and engagement.\n\nBe vigilant. Check the follower count. Don't sign up for anything unless you're 💯 sure it's the real deal., 367205, 779
mo1nlover.bsky.social,2024-11-13,0,47,0,0,6,nan, 115246, 205
crowbar.wtf,2023-06-07,183,351,0,43,8,On this night 20 years ago I was devastated and shattered.\n\nI’d lost the most important person in the world - my mother.\n\nI toast you tonight Pamela Jane de Paulo. \n\nI miss you still., 4037, 4937
mjfree.bsky.social,2024-11-09,3,4184,13,125,192,PCH, 206743, 458
jasonreiduk.bsky.social,2023-07-14,50,355,14,3,101,🇮🇪 Best teller outfit ever. \n\n#irishelection #ge24, 4887, 1189
lilalienz4ever.bsky.social,2024-08-31,0,361,1,3,71,nan, 89704, 559
bladeofthes.bsky.social,2024-11-11,0,520,3,7,69,nan, 62545, 610
sundaedivine.bsky.social,2023-07-04,165,350,4,18,46,This is Jonathan.\n\nHe was born in 1832 and is 191 years old. He was born about 30 years before the US Civil War started. He’s also Mitch McConnell's younger brother., 92157, 1368
georgetakei.bsky.social,2023-04-30,131,17038,41,595,665,It feels nice to not have to scroll quickly past all the fake blue checks pooping at the top of all my comments.\n\nI’m here to stay.'], 868984, 5295
tarjapk.bsky.social,2023-07-03,293,3015,34,133,326,"Subtitles aren’t just for deaf or hard of hearing players. They’re important for players in loud environments (who can’t use headphones), non-native speakers who rely on text to follow dialogue, and many neurodivergent folks who struggle to focus or process audio quickly. Just to mention few.']", 2660, 723
thatericalper.bsky.social,2024-02-09,0,26062,321,656,2590,], 11464, 418
atrupar.com,2023-04-28,134,1019,2,73,20,"no Sunday shows tweets from me this morning as I'm going to enjoy a Sunday Funday at the Vikings game. Hope you have a good one too ✌️""]", 541880, 4070
karenab32.bsky.social,2023-08-21,14,38825,210,882,4189,Good morning 😊'], 4630, 1220
mnateshyamalan.bsky.social,2023-04-27,132,13901,46,234,624,just saw wicked. the green lady could defeat the pink lady in hand-to-hand combat easily and i am tired of being told this is Not So'], 127161, 559
marcelias.bsky.social,2023-05-03,99,1039,10,48,105,"450k followers!🥳\n\nI promised @brenley.bsky.social I'd suspend posting on Twitter when I reach 500k.""]", 462640, 324
meyoco.bsky.social,2023-09-19,13,2342,1,24,394,sky veil 🌙☀️💫'], 70749, 457
barnesandnoble.bsky.social,2023-08-04,50,3361,16,85,280,Libraries are absolutely the best places on earth.'], 42429, 204
goingmedieval.bsky.social,2023-05-14,260,526,15,47,75,"I honestly - not even joking - will think less of you as a person if you do the Whamageddon thing. Have some respect for the voice of an angel, a true comrade, and a song whose proceeds all go to charity. It's a stone cold banger. Go get mad at Paul McCartney.""]", 34885, 4935
kjhealy.co,2023-05-01,54,1343,10,23,354,Strong Venn work here from @forrestbrazeal.bsky.social'], 19926, 3122
ioponomarenko.bsky.social,2023-10-08,214,347,0,7,32,"Finally, after 3 decades(!) in construction and standing idle due to lacking funding, the legendary Podil Bridge in Kyiv is open for traffic that begins in Podil and ends in the middle of nowhere across the Dnipro.']", 89219, 230
altyellonatpark.org,2024-11-11,38,1021,1,11,36,Good morning from @altyellonatpark.org'], 29146, 462
bearlyfeline.bsky.social,2023-07-27,12,1048,0,18,71,Lion time!!🦁'], 8219, 174
lepapillonblue.bsky.social,2023-08-06,54,22343,31,365,890,"Here’s my photograph from a snowy Grand Canyon, AZ. 🏜️']", 147217, 7215
whimsicalmuse.bsky.social,2024-11-16,105,878,10,31,85,Surround yourself with the kind of people who treat the Oxford comma like the wondrous beauty that it is.'], 32612, 41
allabtgalaxy.bsky.social,2024-10-22,32,22882,77,272,1672,"Billions of worlds, in one image']", 101251, 109
infjx.bsky.social,2024-11-13,191,2136,8,51,110,There’s a website I frequently use called “Where’s The Jump?” that tells you exactly where in a film a jump scare comes in and I just think the person who takes the time to do that is so nice'], 65491, 103
wholethings.bsky.social,2024-01-08,39,8085,20,74,498,"Aurora over Monument Valley, Arizona 🇺🇸']", 11534, 26
jtp.bsky.social,2023-04-20,35,2822,20,196,103,why is there video games on netflix'], 69185, 2813
missybbbobtail.bsky.social,2023-09-02,91,4502,5,98,142,Guess who was up ALLLLLL night playing and wanting chin scratches? \nRaises paw slowly.  🐾🐾🐾'], 20897, 1227
bitchesthecat.bsky.social,2023-05-23,11,700,3,34,25,Rug or cat.'], 5060, 212
jocelynanderson.bsky.social,2023-11-01,37,9961,28,132,484,A Blue Jay watching the nature trail.'], 7287, 735
angryblacklady.bsky.social,2023-05-02,139,12737,66,399,530,Jurassic Park holds up so well. Why did I shriek when the velociraptor showed up behind Laura Dern like I haven’t seen this movie 40 times.'], 102656, 5907
smashfizzle.bsky.social,2023-05-04,135,6540,42,176,510,"I don’t want to force anybody into anything, but it’s a great time for Jason Segel to release a full length puppet-led vampire musical.']", 37656, 481
cosmic-context.bsky.social,2024-11-21,9,3500,17,46,217,Stardust💫'], <NA>, <NA>
mkbhd.com,2023-04-28,233,543,3,32,12,Being able to pin a feed to my homepage without following everyone on the list is a genuinely useful and awesome feature. Google+ was ahead of its time with circles (IYKYK) but this is the next best thing for curating multiple feeds.'], <NA>, <NA>
jacobgeller.bsky.social,2023-04-29,94,546,1,15,36,"Always get excited when Fred gets flat and this is absolutely the flattest I've ever seen him.""]", 31063, 230
cwebbonline.com,2023-08-12,187,1073,13,89,122,Brick and mortar Black Friday was dead this year. I think folks finally got hip to the fact that those Black Friday sales aren’t any better than the regular sale they had the week before.'], 165432, 868
joncooper-us.bsky.social,2024-11-09,29,12182,8,282,401,"Good night, Bluesky family. 🌙']", 288840, 250
